State,CountyName,Metro,RegionName,1 BR Median Price,2 BR Median Price,3 BR Median Price,4 BR Median Price,5+ BR Median Price
CA,Riverside County,Riverside-San Bernardino-Ontario,Perris,0.0,0.0,1800.0,0.0,0.0
CA,Riverside County,Riverside-San Bernardino-Ontario,Rancho Mirage,0.0,1650.0,2500.0,0.0,0.0
CA,Riverside County,Riverside-San Bernardino-Ontario,Riverside,398.75,450.0,525.0,600.0,0.0
CA,Riverside County,Riverside-San Bernardino-Ontario,Temecula,333.8,363.5,430.0,490.0,560.0
CA,Sacramento County,Sacramento--Roseville--Arden-Arcade,Arden-Arcade,395.0,455.0,600.0,0.0,0.0
CA,Sacramento County,Sacramento--Roseville--Arden-Arcade,Carmichael,382.6666666666667,450.0,598.3333333333334,0.0,0.0
CA,Sacramento County,Sacramento--Roseville--Arden-Arcade,Citrus Heights,421.3333333333333,500.0,598.3333333333334,0.0,0.0
CA,Sacramento County,Sacramento--Roseville--Arden-Arcade,Elk Grove,0.0,571.3333333333334,633.3333333333334,750.0,0.0
CA,Sacramento County,Sacramento--Roseville--Arden-Arcade,Folsom,405.0,489.375,562.5,634.375,0.0
CA,Sacramento County,Sacramento--Roseville--Arden-Arcade,Rancho Cordova,0.0,0.0,912.5,998.75,0.0
CA,Sacramento County,Sacramento--Roseville--Arden-Arcade,Rosemont,0.0,1511.5,0.0,0.0,0.0
CA,Sacramento County,Sacramento--Roseville--Arden-Arcade,Sacramento,281.0,339.0,370.0,399.0,380.0
CA,San Bernardino County,Riverside-San Bernardino-Ontario,Apple Valley,0.0,487.5,697.5,0.0,0.0
CA,San Bernardino County,Riverside-San Bernardino-Ontario,Chino,485.0,558.75,628.75,712.5,0.0
CA,San Bernardino County,Riverside-San Bernardino-Ontario,Chino Hills,463.125,540.625,649.25,718.75,0.0
CA,San Bernardino County,Riverside-San Bernardino-Ontario,Fontana,0.0,491.6666666666667,733.3333333333334,824.1666666666666,0.0
CA,San Bernardino County,Riverside-San Bernardino-Ontario,Loma Linda,0.0,1569.5,0.0,0.0,0.0
CA,San Bernardino County,Riverside-San Bernardino-Ontario,Montclair,0.0,1987.0,0.0,0.0,0.0
CA,San Bernardino County,Riverside-San Bernardino-Ontario,Ontario,393.75,473.75,550.0,625.0,0.0
CA,San Bernardino County,Riverside-San Bernardino-Ontario,Rancho Cucamonga,441.25,515.0,604.0,668.75,0.0
CA,San Bernardino County,Riverside-San Bernardino-Ontario,Redlands,575.8333333333334,575.0,680.0,0.0,0.0
CA,San Bernardino County,Riverside-San Bernardino-Ontario,San Bernardino,325.0,415.0,560.0,0.0,0.0
CA,San Bernardino County,Riverside-San Bernardino-Ontario,Twentynine Palms,0.0,400.0,500.0,0.0,0.0
CA,San Bernardino County,Riverside-San Bernardino-Ontario,Upland,500.6666666666667,605.6666666666666,900.0,0.0,0.0
CA,San Bernardino County,Riverside-San Bernardino-Ontario,Victorville,0.0,365.8333333333333,483.3333333333333,530.8333333333334,0.0
CA,San Diego County,San Diego-Carlsbad,Carlsbad,517.5,598.75,811.5,974.375,0.0
CA,San Diego County,San Diego-Carlsbad,Chula Vista,452.5,562.5,696.25,750.0,0.0
CA,San Diego County,San Diego-Carlsbad,Coronado,0.0,4200.0,0.0,0.0,0.0
